Id,Gene,Family
XP_015755885.1,14-3-3,PF00244.23
XP_015761774.1,14-3-3,PF00244.23
XP_015755888.1,14-3-3,PF00244.23
XP_015756568.1,14-3-3,PF00244.23
XP_015755884.1,14-3-3,PF00244.23
XP_015755881.1,14-3-3,PF00244.23
XP_015755882.1,14-3-3,PF00244.23
XP_015755883.1,14-3-3,PF00244.23
XP_015755880.1,14-3-3,PF00244.23
XP_015755879.1,14-3-3,PF00244.23
XP_015755887.1,14-3-3,PF00244.23
XP_015756567.1,14-3-3,PF00244.23
XP_015755889.1,14-3-3,PF00244.23
XP_015763058.1,14-3-3,PF00244.23
XP_015767790.1,14-3-3,PF00244.23
XP_015767792.1,14-3-3,PF00244.23
XP_015767787.1,14-3-3,PF00244.23
XP_015767788.1,14-3-3,PF00244.23
XP_015767789.1,14-3-3,PF00244.23
XP_015767791.1,14-3-3,PF00244.23
XP_015770145.1,14-3-3,PF00244.23
XP_015770144.1,14-3-3,PF00244.23
XP_015776668.1,2-Hacid_dh,PF00389.33
XP_015762001.1,2-Hacid_dh,PF00389.33
XP_015762002.1,2-Hacid_dh,PF00389.33
XP_015769010.1,2-Hacid_dh,PF00389.33
XP_015769009.1,2-Hacid_dh,PF00389.33
XP_015761147.1,2-Hacid_dh,PF00389.33
XP_015776665.1,2-Hacid_dh,PF00389.33
XP_015762001.1,2-Hacid_dh_C,PF02826.22
XP_015762002.1,2-Hacid_dh_C,PF02826.22
XP_015776668.1,2-Hacid_dh_C,PF02826.22
XP_015769010.1,2-Hacid_dh_C,PF02826.22
XP_015769009.1,2-Hacid_dh_C,PF02826.22
XP_015761147.1,2-Hacid_dh_C,PF02826.22
XP_015758861.1,2-Hacid_dh_C,PF02826.22
XP_015758860.1,2-Hacid_dh_C,PF02826.22
XP_015776738.1,2-Hacid_dh_C,PF02826.22
XP_015780299.1,2-Hacid_dh_C,PF02826.22
XP_015776737.1,2-Hacid_dh_C,PF02826.22
XP_015776736.1,2-Hacid_dh_C,PF02826.22
XP_015770715.1,2-Hacid_dh_C,PF02826.22
XP_015770716.1,2-Hacid_dh_C,PF02826.22
XP_015770713.1,2-Hacid_dh_C,PF02826.22
XP_015769004.1,2-Hacid_dh_C,PF02826.22
XP_015769006.1,2-Hacid_dh_C,PF02826.22
XP_015770714.1,2-Hacid_dh_C,PF02826.22
XP_015770719.1,2-Hacid_dh_C,PF02826.22
XP_015770718.1,2-Hacid_dh_C,PF02826.22
XP_015770717.1,2-Hacid_dh_C,PF02826.22
XP_015765465.1,2-Hacid_dh_C,PF02826.22
XP_015765464.1,2-Hacid_dh_C,PF02826.22
XP_015761635.1,2-Hacid_dh_C,PF02826.22
XP_015759459.1,2-Hacid_dh_C,PF02826.22
XP_015764920.1,2-Hacid_dh_C,PF02826.22
XP_015761335.1,2-Hacid_dh_C,PF02826.22
XP_015761365.1,2-Hacid_dh_C,PF02826.22
XP_015770706.1,2-Hacid_dh_C,PF02826.22
XP_015761637.1,2-Hacid_dh_C,PF02826.22
XP_015765358.1,2-Hacid_dh_C,PF02826.22
XP_015765359.1,2-Hacid_dh_C,PF02826.22
